"","X","experiment_id","sample_id","platform_id","cell_type","category","general_cell_type","donor_tissue","sub_cell_type1","ts_timepoint","ResemblingNativeCellType","index","cell_type.1","category.1","target_cell_type","general_cell_type.1","parental_cell_type","donor_tissue.1","CellType","Treatment","progenitor.cell.type","Comment","SRR_accession","QC_summary","SRX_accession","SRS_accession","SRP_accession","GSE_accession","Sample_name","Library_name","SampleName","ReleaseDate","LoadDate","spots","bases","spots_with_mates","avgLength","size_MB","AssemblyName","download_path","LibraryName","LibraryStrategy","LibrarySelection","LibrarySource","LibraryLayout","InsertSize","InsertDev","Platform","Model","SRAStudy","BioProject","Study_Pubmed_id","ProjectID","Sample","BioSample","SampleType","TaxID","ScientificName","g1k_pop_code","source","g1k_analysis_group","Subject_ID","Sex","Disease","Tumor","Affection_Status","Analyte_Type","Histological_Type","Body_Site","CenterName","Submission","dbgap_study_accession","Consent","RunHash","ReadHash"
"ERR296099","ERP003259.ERX269437.GPL11154","ERP003259","ERX269437","GPL11154","embryonic stem cell, treated","other","ESC.t",NA,NA,"","",11,"ESC","standard",NA,"ESC",NA,"","ESC","treated","","","ERR296099","PASS","ERX269437","ERS252028","ERP003259","SAMEA2078456","","hESCs_SONknockdown_RNA_Rep2","SAMEA2078456","2013-09-10 06:03:54","2013-08-31 03:43:55",25967679,3947087208,25967679,152,2547,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR296099/ERR296099.1","hESCs_SONknockdown_RNA_Rep2","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",300,0,"ILLUMINA","Illumina HiSeq 2000","ERP003259","PRJEB4007",NA,217815,"ERS252028","SAMEA2078456","simple",9606,"Homo sapiens",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,"","GIS","ERA223775",NA,"public","227C564F92BCD1C4B2C2510AD4BD434B","7BC14372747584159E4BE32F88906E87"
"ERR296100","ERP003259.ERX269435.GPL11154","ERP003259","ERX269435","GPL11154","embryonic stem cell, treated","other","ESC.t",NA,NA,"","",12,"ESC","standard",NA,"ESC",NA,"","ESC","treated","","","ERR296100","PASS","ERX269435","ERS252028","ERP003259","SAMEA2078456","","hESCs_SONknockdown_RNA_Rep1","SAMEA2078456","2013-09-10 06:03:54","2013-08-31 03:43:44",22098133,3358916216,22098133,152,2147,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR296100/ERR296100.1","hESCs_SONknockdown_RNA_Rep1","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",300,0,"ILLUMINA","Illumina HiSeq 2000","ERP003259","PRJEB4007",NA,217815,"ERS252028","SAMEA2078456","simple",9606,"Homo sapiens",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,"","GIS","ERA223775",NA,"public","11F33CDA1D2F63B6948B4907C62D3327","5788C25C8665B62F7F3AEC9536E4EA36"
"ERR296101","ERP003259.ERX269438.GPL11154","ERP003259","ERX269438","GPL11154","embryonic stem cell, treated","other","ESC.t",NA,NA,"","",13,"ESC","standard",NA,"ESC",NA,"","ESC","treated","","","ERR296101","PASS","ERX269438","ERS252028","ERP003259","SAMEA2078456","","hESCs_SONknockdown_RNA_Rep1","SAMEA2078456","2013-09-10 06:03:54","2013-08-31 03:41:43",33547380,5099201760,33547380,152,3027,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR296101/ERR296101.1","hESCs_SONknockdown_RNA_Rep1","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",300,0,"ILLUMINA","Illumina HiSeq 2000","ERP003259","PRJEB4007",NA,217815,"ERS252028","SAMEA2078456","simple",9606,"Homo sapiens",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,"","GIS","ERA223775",NA,"public","D829BB55C0DE8EDE26BB3B3D00FEF8D3","B51981B1B5D2E604EF4507081017B92D"
"ERR296102","ERP003259.ERX269428.GPL11154","ERP003259","ERX269428","GPL11154","embryonic stem cell","standard","ESC",NA,NA,"","",14,"ESC","standard",NA,"ESC",NA,"","ESC","untreated","","","ERR296102","PASS","ERX269428","ERS252028","ERP003259","SAMEA2078456","","hESCs_control_RNA_Rep2","SAMEA2078456","2013-09-10 06:03:54","2013-08-31 03:48:42",22338945,3395519640,22338945,152,2190,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR296102/ERR296102.1","hESCs_control_RNA_Rep2","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",300,0,"ILLUMINA","Illumina HiSeq 2000","ERP003259","PRJEB4007",NA,217815,"ERS252028","SAMEA2078456","simple",9606,"Homo sapiens",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,"","GIS","ERA223775",NA,"public","CA279EFC58FBC2C460910341CF0E7FEB","F991BA4A69B7B83981BCA7E92848A3F3"
"ERR296103","ERP003259.ERX269431.GPL11154","ERP003259","ERX269431","GPL11154","embryonic stem cell","standard","ESC",NA,NA,"","",15,"ESC","standard",NA,"ESC",NA,"","ESC","untreated","","","ERR296103","PASS","ERX269431","ERS252028","ERP003259","SAMEA2078456","","hESCs_control_RNA_Rep1","SAMEA2078456","2013-09-10 06:03:54","2013-08-31 03:49:18",27158031,4128020712,27158031,152,2660,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR296103/ERR296103.1","hESCs_control_RNA_Rep1","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",300,0,"ILLUMINA","Illumina HiSeq 2000","ERP003259","PRJEB4007",NA,217815,"ERS252028","SAMEA2078456","simple",9606,"Homo sapiens",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,"","GIS","ERA223775",NA,"public","6897B2CAB883448FDCC8CBCBDFAE7050","0ACA3C757708FB3D44632D3CE76DA830"
"ERR296104","ERP003259.ERX269430.GPL11154","ERP003259","ERX269430","GPL11154","embryonic stem cell","standard","ESC",NA,NA,"","",16,"ESC","standard",NA,"ESC",NA,"","ESC","untreated","","","ERR296104","PASS","ERX269430","ERS252028","ERP003259","SAMEA2078456","","hESCs_control_RNA_Rep1","SAMEA2078456","2013-09-10 06:03:54","2013-08-31 03:49:08",36754290,5586652080,36754290,152,3293,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR296104/ERR296104.1","hESCs_control_RNA_Rep1","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",300,0,"ILLUMINA","Illumina HiSeq 2000","ERP003259","PRJEB4007",NA,217815,"ERS252028","SAMEA2078456","simple",9606,"Homo sapiens",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,"","GIS","ERA223775",NA,"public","326C4E2587ED72A1C0F2B8C200A59287","CB87257462EDCB5AF5186ED9372FE1A9"
"ERR296105","ERP003259.ERX269433.GPL11154","ERP003259","ERX269433","GPL11154","embryonic stem cell","standard","ESC",NA,NA,"","",17,"ESC","standard",NA,"ESC",NA,"","ESC","untreated","","","ERR296105","PASS","ERX269433","ERS252028","ERP003259","SAMEA2078456","","hESCs_control_RNA_Rep2","SAMEA2078456","2013-09-10 06:03:54","2013-08-31 03:48:37",22409672,3406270144,22409672,152,2174,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR296105/ERR296105.1","hESCs_control_RNA_Rep2","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",300,0,"ILLUMINA","Illumina HiSeq 2000","ERP003259","PRJEB4007",NA,217815,"ERS252028","SAMEA2078456","simple",9606,"Homo sapiens",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,"","GIS","ERA223775",NA,"public","2F7639B47B8A6EE3BF136FE6A15A20DD","86B87C8AE76BC0E74BCA9B0D5F3B6B61"
"ERR296106","ERP003259.ERX269439.GPL11154","ERP003259","ERX269439","GPL11154","embryonic stem cell","standard","ESC",NA,NA,"","",18,"ESC","standard",NA,"ESC",NA,"","ESC","untreated","","","ERR296106","PASS","ERX269439","ERS252028","ERP003259","SAMEA2078456","","hESCs_control_RNA_Rep1","SAMEA2078456","2013-09-10 06:03:54","2013-08-31 03:49:25",27220319,4137488488,27220319,152,2638,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR296106/ERR296106.1","hESCs_control_RNA_Rep1","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",300,0,"ILLUMINA","Illumina HiSeq 2000","ERP003259","PRJEB4007",NA,217815,"ERS252028","SAMEA2078456","simple",9606,"Homo sapiens",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,"","GIS","ERA223775",NA,"public","FF996F2D45B858385E909585E118ADFA","B99D81C2545B0D9902BAC6991B11FD79"
"ERR361240","ERP004211.ERX334016.GPL11154","ERP004211","ERX334016","GPL11154","embryonic stem cell, treated","other","ESC.t",NA,NA,"","",19,"ESC","standard",NA,"ESC",NA,"","ESC","treated","","","ERR361240","PASS","ERX334016","ERS363973","ERP004211","SAMEA2234721","","3iL_hESCs_RNA_Rep2","SAMEA2234721","2013-12-11 01:42:10","2013-12-05 22:58:21",51928787,3946587812,0,76,2538,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR361240/ERR361240.1","3iL_hESCs_RNA_Rep2","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","ERP004211","PRJEB4879",NA,231274,"ERS363973","SAMEA2234721","simple",9606,"Homo sapiens",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,"","GIS","ERA260913",NA,"public","D6FCC9341BBA425AB1CC5D62D8379A7F","CACF64D76AE2193767E4DFCABF6216EE"
"ERR361241","ERP004211.ERX334015.GPL11154","ERP004211","ERX334015","GPL11154","embryonic stem cell","standard","ESC",NA,NA,"","",20,"ESC","standard",NA,"ESC",NA,"","ESC","untreated","","","ERR361241","PASS","ERX334015","ERS363974","ERP004211","SAMEA2234722","","hESCs_RNA_Rep1","SAMEA2234722","2013-12-11 01:42:10","2013-12-05 22:58:45",58148523,4419287748,0,76,2839,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR361241/ERR361241.1","hESCs_RNA_Rep1","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","ERP004211","PRJEB4879",NA,231274,"ERS363974","SAMEA2234722","simple",9606,"Homo sapiens",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,"","GIS","ERA260913",NA,"public","6325410495EB589FBBD5592EB4336217","28B0A9F265E6F590FFD9A8D98107BA0F"
"ERR361242","ERP004211.ERX334013.GPL11154","ERP004211","ERX334013","GPL11154","embryonic stem cell, treated","other","ESC.t",NA,NA,"","",21,"ESC","standard",NA,"ESC",NA,"","ESC","treated","","","ERR361242","PASS","ERX334013","ERS363973","ERP004211","SAMEA2234721","","3iL_hESCs_RNA_Rep1","SAMEA2234721","2013-12-11 01:42:10","2013-12-05 22:59:40",54642555,4152834180,0,76,2676,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR361242/ERR361242.1","3iL_hESCs_RNA_Rep1","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","ERP004211","PRJEB4879",NA,231274,"ERS363973","SAMEA2234721","simple",9606,"Homo sapiens",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,"","GIS","ERA260913",NA,"public","E4A9B505BF4755461AE82C2F9B87A420","87C79E121B99033A7D254E0FD0A90297"
"ERR361243","ERP004211.ERX334012.GPL11154","ERP004211","ERX334012","GPL11154","embryonic stem cell","standard","ESC",NA,NA,"","",22,"ESC","standard",NA,"ESC",NA,"","ESC","untreated","","","ERR361243","PASS","ERX334012","ERS363974","ERP004211","SAMEA2234722","","hESCs_RNA_Rep3","SAMEA2234722","2013-12-11 01:42:10","2013-12-05 23:00:11",54851191,4168690516,0,76,2675,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR361243/ERR361243.1","hESCs_RNA_Rep3","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","ERP004211","PRJEB4879",NA,231274,"ERS363974","SAMEA2234722","simple",9606,"Homo sapiens",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,"","GIS","ERA260913",NA,"public","F310E03E81C87554EFBDC379BE3D994D","5AC246EDEB7F67A1F4F352ECB76D10F8"
"ERR361244","ERP004211.ERX334011.GPL11154","ERP004211","ERX334011","GPL11154","embryonic stem cell, treated","other","ESC.t",NA,NA,"","",23,"ESC","standard",NA,"ESC",NA,"","ESC","treated","","","ERR361244","PASS","ERX334011","ERS363973","ERP004211","SAMEA2234721","","3iL_hESCs_RNA_Rep3","SAMEA2234721","2013-12-11 01:42:10","2013-12-05 23:02:09",51224012,3893024912,0,76,2493,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR361244/ERR361244.1","3iL_hESCs_RNA_Rep3","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","ERP004211","PRJEB4879",NA,231274,"ERS363973","SAMEA2234721","simple",9606,"Homo sapiens",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,"","GIS","ERA260913",NA,"public","28A04FC84E728B06047708A8DB890B78","9B05EFC5E33F27A0F7739F0C037C1894"
"ERR361245","ERP004211.ERX334014.GPL11154","ERP004211","ERX334014","GPL11154","embryonic stem cell","standard","ESC",NA,NA,"","",24,"ESC","standard",NA,"ESC",NA,"","ESC","untreated","","","ERR361245","PASS","ERX334014","ERS363974","ERP004211","SAMEA2234722","","hESCs_RNA_Rep2","SAMEA2234722","2013-12-11 01:42:10","2013-12-05 23:04:03",53858299,4093230724,0,76,2634,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR361245/ERR361245.1","hESCs_RNA_Rep2","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","ERP004211","PRJEB4879",NA,231274,"ERS363974","SAMEA2234722","simple",9606,"Homo sapiens",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,"","GIS","ERA260913",NA,"public","17C4B8D7C0544B3EFEED82589270A321","D4E6196C47A84CC21AFBBAC976BAF1EA"
"ERR368941","ERP004298.ERX341650.GPL11154","ERP004298","ERX341650","GPL11154","embryonic stem cell","standard","ESC",NA,NA,"","",25,"ESC","standard",NA,"ESC",NA,"","ESC","untreated","","","ERR368941","PASS","ERX341650","ERS370606","ERP004298","SAMEA2248196","","hESCs_RNA","SAMEA2248196","2014-05-14 14:11:58","2014-05-18 01:00:54",24295755,3692954760,24295755,152,2395,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/ERR368941/ERR368941.1","hESCs_RNA","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",300,0,"ILLUMINA","Illumina HiSeq 2000","ERP004298","PRJEB4957",NA,243040,"ERS370606","SAMEA2248196","simple",9606,"Homo sapiens",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,"","GIS","ERA266624",NA,"public","AA46A184E9123FC517D17536D3F43F0C","B04A79AD9F6AD1DA0B294E330940438E"
