row,experiment_id,sample_id,platform_id,cell_type,category,general_cell_type,donor_tissue,sub_cell_type1,ts_timepoint,ResemblingNativeCellType,AdditionalProperty,GSE,GSM,SRR_accession,QC_summary,SRX_accession,SRS_accession,SRP_accession,GSE_accession,Sample_name,LibraryLayout,Model
ERP003259.ERX269428.GPL11154,ERP003259,ERX269428,GPL11154,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1;pmid:24013217,,,ERR296102,PASS,ERX269428,ERS252028,ERP003259,SAMEA2078456,,PAIRED,Illumina HiSeq 2000
ERP003259.ERX269431.GPL11154,ERP003259,ERX269431,GPL11154,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1;pmid:24013217,,,ERR296103,PASS,ERX269431,ERS252028,ERP003259,SAMEA2078456,,PAIRED,Illumina HiSeq 2000
ERP003259.ERX269430.GPL11154,ERP003259,ERX269430,GPL11154,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1;pmid:24013217,,,ERR296104,PASS,ERX269430,ERS252028,ERP003259,SAMEA2078456,,PAIRED,Illumina HiSeq 2000
ERP003259.ERX269433.GPL11154,ERP003259,ERX269433,GPL11154,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1;pmid:24013217,,,ERR296105,PASS,ERX269433,ERS252028,ERP003259,SAMEA2078456,,PAIRED,Illumina HiSeq 2000
ERP003259.ERX269439.GPL11154,ERP003259,ERX269439,GPL11154,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1;pmid:24013217,,,ERR296106,PASS,ERX269439,ERS252028,ERP003259,SAMEA2078456,,PAIRED,Illumina HiSeq 2000
ERP004211.ERX334016.GPL11154,ERP004211,ERX334016,GPL11154,"embryonic stem cell, treated",other,ESC.t,NA,NA,,,,,,ERR361240,PASS,ERX334016,ERS363973,ERP004211,SAMEA2234721,,SINGLE,Illumina HiSeq 2000
ERP004211.ERX334015.GPL11154,ERP004211,ERX334015,GPL11154,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1;pmid:24315441,,,ERR361241,PASS,ERX334015,ERS363974,ERP004211,SAMEA2234722,,SINGLE,Illumina HiSeq 2000
ERP004211.ERX334013.GPL11154,ERP004211,ERX334013,GPL11154,"embryonic stem cell, treated",other,ESC.t,NA,NA,,,,,,ERR361242,PASS,ERX334013,ERS363973,ERP004211,SAMEA2234721,,SINGLE,Illumina HiSeq 2000
ERP004211.ERX334012.GPL11154,ERP004211,ERX334012,GPL11154,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1;pmid:24315441,,,ERR361243,PASS,ERX334012,ERS363974,ERP004211,SAMEA2234722,,SINGLE,Illumina HiSeq 2000
ERP004211.ERX334011.GPL11154,ERP004211,ERX334011,GPL11154,"embryonic stem cell, treated",other,ESC.t,NA,NA,,,,,,ERR361244,PASS,ERX334011,ERS363973,ERP004211,SAMEA2234721,,SINGLE,Illumina HiSeq 2000
ERP004211.ERX334014.GPL11154,ERP004211,ERX334014,GPL11154,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1;pmid:24315441,,,ERR361245,PASS,ERX334014,ERS363974,ERP004211,SAMEA2234722,,SINGLE,Illumina HiSeq 2000
ERP004298.ERX341650.GPL11154,ERP004298,ERX341650,GPL11154,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1;pmid:24681886,,,ERR368941,PASS,ERX341650,ERS370606,ERP004298,SAMEA2248196,,PAIRED,Illumina HiSeq 2000
ERP004298.ERX341651.GPL11154,ERP004298,ERX341651,GPL11154,"embryonic stem cell, treated",other,ESC.t,NA,NA,,,,,,ERR368942,PASS,ERX341651,ERS370605,ERP004298,SAMEA2248195,,PAIRED,Illumina HiSeq 2000
ERP004298.ERX341652.GPL11154,ERP004298,ERX341652,GPL11154,"embryonic stem cell, treated",other,ESC.t,NA,NA,,,,,,ERR368943,PASS,ERX341652,ERS370605,ERP004298,SAMEA2248195,,PAIRED,Illumina HiSeq 2000
ERP004298.ERX341653.GPL11154,ERP004298,ERX341653,GPL11154,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1;pmid:24681886,,,ERR368944,PASS,ERX341653,ERS370606,ERP004298,SAMEA2248196,,PAIRED,Illumina HiSeq 2000
SRP002079.SRX017369.GPL9115,SRP002079,SRX017369,GPL9115,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1,GSE20301,GSM517435,SRR037170,"WARN(1,3,4,5,6,7)",SRX017369,SRS011896,SRP002079,GSM517435,GSE20301,SINGLE,Illumina Genome Analyzer II
SRP002079.SRX017371.GPL9115,SRP002079,SRX017371,GPL9115,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1,GSE20301,GSM517437,SRR037174,"WARN(1,4,5,7)",SRX017371,SRS011898,SRP002079,GSM517437,GSE20301,PAIRED,Illumina Genome Analyzer II
SRP002079.SRX017372.GPL9115,SRP002079,SRX017372,GPL9115,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1,GSE20301,GSM517437,SRR037177,"WARN(1,3,4,5,6,7)",SRX017372,SRS011898,SRP002079,GSM517437,GSE20301,SINGLE,Illumina Genome Analyzer II
SRP002079.SRX017373.GPL9115,SRP002079,SRX017373,GPL9115,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1,GSE20301,GSM517437,SRR037178,"WARN(1,3,4,5,6,7)",SRX017373,SRS011898,SRP002079,GSM517437,GSE20301,SINGLE,Illumina Genome Analyzer II
SRP002079.SRX017373.GPL9115,SRP002079,SRX017373,GPL9115,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1,GSE20301,GSM517437,SRR037179,"WARN(1,3,4,5,6,7)",SRX017373,SRS011898,SRP002079,GSM517437,GSE20301,SINGLE,Illumina Genome Analyzer II
SRP002079.SRX017373.GPL9115,SRP002079,SRX017373,GPL9115,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1,GSE20301,GSM517437,SRR037180,"WARN(1,3,4,5,6,7)",SRX017373,SRS011898,SRP002079,GSM517437,GSE20301,SINGLE,Illumina Genome Analyzer II
SRP002079.SRX017373.GPL9115,SRP002079,SRX017373,GPL9115,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1,GSE20301,GSM517437,SRR037181,"WARN(1,3,4,5,6,7)",SRX017373,SRS011898,SRP002079,GSM517437,GSE20301,SINGLE,Illumina Genome Analyzer II
SRP002079.SRX017372.GPL9115,SRP002079,SRX017372,GPL9115,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1,GSE20301,GSM517437,SRR037182,"WARN(1,3,4,5,6,7)",SRX017372,SRS011898,SRP002079,GSM517437,GSE20301,SINGLE,Illumina Genome Analyzer II
SRP002079.SRX017372.GPL9115,SRP002079,SRX017372,GPL9115,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1,GSE20301,GSM517437,SRR037185,"WARN(1,3,4,5,6,7)",SRX017372,SRS011898,SRP002079,GSM517437,GSE20301,SINGLE,Illumina Genome Analyzer II
SRP002079.SRX017372.GPL9115,SRP002079,SRX017372,GPL9115,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1,GSE20301,GSM517437,SRR037188,"WARN(1,3,4,5,6,7)",SRX017372,SRS011898,SRP002079,GSM517437,GSE20301,SINGLE,Illumina Genome Analyzer II
SRP091319.SRX2234712.GPL11154,SRP091319,SRX2234712,GPL11154,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H9,,,SRR4408340,"WARN(4,6)",SRX2234712,SRS1735740,SRP091319,Human H9 (WA09) hESC cell line,,SINGLE,Illumina HiSeq 2000
SRP091319.SRX2234713.GPL16791,SRP091319,SRX2234713,GPL16791,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H9,,,SRR4408341,WARN(4),SRX2234713,SRS1735740,SRP091319,Human H9 (WA09) hESC cell line,,SINGLE,Illumina HiSeq 2500
SRP155815.SRX4490875.GPL20795,SRP155815,SRX4490875,GPL20795,retinal pigmented epithelium,standard,RPE,NA,NA,,,,,,SRR7626971,PASS,SRX4490875,SRS3613471,SRP155815,fRPESC3,,SINGLE,HiSeq X Ten
SRP155815.SRX4490874.GPL20795,SRP155815,SRX4490874,GPL20795,retinal pigmented epithelium,standard,RPE,NA,NA,,,,,,SRR7626972,PASS,SRX4490874,SRS3613470,SRP155815,fRPESC2,,SINGLE,HiSeq X Ten
SRP155815.SRX4490873.GPL20795,SRP155815,SRX4490873,GPL20795,retinal pigmented epithelium,standard,RPE,NA,NA,,,,,,SRR7626973,PASS,SRX4490873,SRS3613469,SRP155815,fRPESC5,,SINGLE,HiSeq X Ten
SRP155815.SRX4490872.GPL20795,SRP155815,SRX4490872,GPL20795,retinal pigmented epithelium,standard,RPE,NA,NA,,,,,,SRR7626974,PASS,SRX4490872,SRS3613468,SRP155815,fRPESC4,,SINGLE,HiSeq X Ten
SRP155815.SRX4490871.GPL20795,SRP155815,SRX4490871,GPL20795,retinal pigmented epithelium,standard,RPE,NA,NA,,,,,,SRR7626975,PASS,SRX4490871,SRS3613467,SRP155815,fRPESC6,,SINGLE,HiSeq X Ten
SRP048993.SRX750225.GPL11154,SRP048993,SRX750225,GPL11154,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1,,,SRR1639212,PASS,SRX750225,SRS722826,SRP048993,H1ESC_D0I12,,PAIRED,Illumina HiSeq 2000
SRP048993.SRX750352.GPL11154,SRP048993,SRX750352,GPL11154,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1,,,SRR1639243,PASS,SRX750352,SRS736106,SRP048993,H1ESC_D0I6,,PAIRED,Illumina HiSeq 2000
SRP048993.SRX750364.GPL11154,SRP048993,SRX750364,GPL11154,derived cardiomyocyte,test,dCM,ESC,dCM-ESC,d1,,source_cellline_name:H1;pmid: 25706534 ,,,SRR1639251,PASS,SRX750364,SRS736114,SRP048993,H1ESC_D1T3,,PAIRED,Illumina HiSeq 2000
SRP048993.SRX750377.GPL11154,SRP048993,SRX750377,GPL11154,derived cardiomyocyte,test,dCM,ESC,dCM-ESC,d1,,source_cellline_name:H1;pmid: 25706534 ,,,SRR1639273,PASS,SRX750377,SRS736124,SRP048993,H1ESC_D1T4,,PAIRED,Illumina HiSeq 2000
SRP048993.SRX750381.GPL11154,SRP048993,SRX750381,GPL11154,derived cardiomyocyte,test,dCM,ESC,dCM-ESC,d3,,source_cellline_name:H1;pmid: 25706534 ,,,SRR1639278,PASS,SRX750381,SRS736127,SRP048993,H1ESC_D3I12,,PAIRED,Illumina HiSeq 2000
SRP048993.SRX750382.GPL11154,SRP048993,SRX750382,GPL11154,derived cardiomyocyte,test,dCM,ESC,dCM-ESC,d3,,source_cellline_name:H1;pmid: 25706534 ,,,SRR1639279,PASS,SRX750382,SRS736128,SRP048993,H1ESC_D3I6,,PAIRED,Illumina HiSeq 2000
SRP048993.SRX796400.GPL11154,SRP048993,SRX796400,GPL11154,derived cardiomyocyte,test,dCM,ESC,dCM-ESC,d5,,source_cellline_name:H1;pmid: 25706534 ,,,SRR1693600,PASS,SRX796400,SRS779796,SRP048993,H1ESC_D5T7,,PAIRED,Illumina HiSeq 2000
SRP048993.SRX796417.GPL11154,SRP048993,SRX796417,GPL11154,derived cardiomyocyte,test,dCM,ESC,dCM-ESC,d5,,source_cellline_name:H1;pmid: 25706534 ,,,SRR1693614,PASS,SRX796417,SRS779810,SRP048993,H1ESC_D5T8,,PAIRED,Illumina HiSeq 2000
SRP048993.SRX796429.GPL11154,SRP048993,SRX796429,GPL11154,derived cardiomyocyte,test,dCM,ESC,dCM-ESC,d14,,source_cellline_name:H1;pmid: 25706534 ,,,SRR1693631,PASS,SRX796429,SRS779819,SRP048993,H1ESC_D14T11,,PAIRED,Illumina HiSeq 2000
SRP048993.SRX796437.GPL11154,SRP048993,SRX796437,GPL11154,derived cardiomyocyte,test,dCM,ESC,dCM-ESC,d14,,source_cellline_name:H1;pmid: 25706534 ,,,SRR1693632,PASS,SRX796437,SRS779827,SRP048993,H1ESC_D14T12,,PAIRED,Illumina HiSeq 2000
SRP014320.SRX159824.GPL9052,SRP014320,SRX159824,GPL9052,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1,GSE33480,GSM958733,SRR521477,PASS,SRX159824,SRS350176,SRP014320,GSM958733,GSE33480,PAIRED,Illumina Genome Analyzer
SRP014320.SRX159824.GPL9052,SRP014320,SRX159824,GPL9052,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1,GSE33480,GSM958733,SRR521478,PASS,SRX159824,SRS350176,SRP014320,GSM958733,GSE33480,PAIRED,Illumina Genome Analyzer
SRP014320.SRX159824.GPL9052,SRP014320,SRX159824,GPL9052,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1,GSE33480,GSM958733,SRR521479,PASS,SRX159824,SRS350176,SRP014320,GSM958733,GSE33480,PAIRED,Illumina Genome Analyzer
SRP014320.SRX159824.GPL9052,SRP014320,SRX159824,GPL9052,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1,GSE33480,GSM958733,SRR521480,PASS,SRX159824,SRS350176,SRP014320,GSM958733,GSE33480,PAIRED,Illumina Genome Analyzer
SRP014320.SRX159824.GPL9052,SRP014320,SRX159824,GPL9052,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1,GSE33480,GSM958733,SRR521481,PASS,SRX159824,SRS350176,SRP014320,GSM958733,GSE33480,PAIRED,Illumina Genome Analyzer
SRP014320.SRX159824.GPL9052,SRP014320,SRX159824,GPL9052,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1,GSE33480,GSM958733,SRR521482,PASS,SRX159824,SRS350176,SRP014320,GSM958733,GSE33480,PAIRED,Illumina Genome Analyzer
SRP014320.SRX159824.GPL9052,SRP014320,SRX159824,GPL9052,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1,GSE33480,GSM958733,SRR521483,PASS,SRX159824,SRS350176,SRP014320,GSM958733,GSE33480,PAIRED,Illumina Genome Analyzer
SRP014320.SRX159824.GPL9052,SRP014320,SRX159824,GPL9052,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1,GSE33480,GSM958733,SRR521484,PASS,SRX159824,SRS350176,SRP014320,GSM958733,GSE33480,PAIRED,Illumina Genome Analyzer
SRP014320.SRX159816.GPL9052,SRP014320,SRX159816,GPL9052,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1,GSE33480,GSM958737,SRR521502,PASS,SRX159816,SRS350180,SRP014320,GSM958737,GSE33480,SINGLE,Illumina Genome Analyzer
SRP014320.SRX159829.GPL9052,SRP014320,SRX159829,GPL9052,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1,GSE33480,GSM958743,SRR521514,PASS,SRX159829,SRS350186,SRP014320,GSM958743,GSE33480,PAIRED,Illumina Genome Analyzer
SRP014320.SRX159829.GPL9052,SRP014320,SRX159829,GPL9052,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1,GSE33480,GSM958743,SRR521515,PASS,SRX159829,SRS350186,SRP014320,GSM958743,GSE33480,PAIRED,Illumina Genome Analyzer
SRP117243.SRX3175973.GPL21290,SRP117243,SRX3175973,GPL21290,"embryonic stem cell, treated",other,ESC.t,NA,NA,,,,,,SRR6025297,PASS,SRX3175973,SRS2505736,SRP117243,57220_H9_hESC_CSDE1_shRNA_#2_replicate_#3,,PAIRED,Illumina HiSeq 3000
SRP117243.SRX3175972.GPL21290,SRP117243,SRX3175972,GPL21290,"embryonic stem cell, treated",other,ESC.t,NA,NA,,,,,,SRR6025298,PASS,SRX3175972,SRS2505735,SRP117243,57218_H9_hESC_CSDE1_shRNA_#1_replicate_#3,,PAIRED,Illumina HiSeq 3000
SRP117243.SRX3175971.GPL21290,SRP117243,SRX3175971,GPL21290,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H9,,,SRR6025299,PASS,SRX3175971,SRS2505734,SRP117243,57216_H9_hESC_NT_shRNA_replicate_#3,,PAIRED,Illumina HiSeq 3000
SRP117243.SRX3175970.GPL21290,SRP117243,SRX3175970,GPL21290,"embryonic stem cell, treated",other,ESC.t,NA,NA,,,,,,SRR6025300,PASS,SRX3175970,SRS2505733,SRP117243,57214_H9_hESC_CSDE1_shRNA_#2_replicate_#2,,PAIRED,Illumina HiSeq 3000
SRP117243.SRX3175969.GPL21290,SRP117243,SRX3175969,GPL21290,"embryonic stem cell, treated",other,ESC.t,NA,NA,,,,,,SRR6025301,PASS,SRX3175969,SRS2505732,SRP117243,57212_H9_hESC_CSDE1_shRNA_#1_replicate_#2,,PAIRED,Illumina HiSeq 3000
SRP117243.SRX3175968.GPL21290,SRP117243,SRX3175968,GPL21290,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H9,,,SRR6025302,PASS,SRX3175968,SRS2505731,SRP117243,57210_H9_hESC_NT_shRNA_replicate_#2,,PAIRED,Illumina HiSeq 3000
SRP117243.SRX3175967.GPL21290,SRP117243,SRX3175967,GPL21290,"embryonic stem cell, treated",other,ESC.t,NA,NA,,,,,,SRR6025303,PASS,SRX3175967,SRS2505730,SRP117243,57208_H9_hESC_CSDE1_shRNA_#2_replicate_#1,,PAIRED,Illumina HiSeq 3000
SRP117243.SRX3175966.GPL21290,SRP117243,SRX3175966,GPL21290,"embryonic stem cell, treated",other,ESC.t,NA,NA,,,,,,SRR6025304,PASS,SRX3175966,SRS2505729,SRP117243,57206_H9_hESC_CSDE1_shRNA_#1_replicate_#1,,PAIRED,Illumina HiSeq 3000
SRP117243.SRX3175965.GPL21290,SRP117243,SRX3175965,GPL21290,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H9,,,SRR6025305,PASS,SRX3175965,SRS2505728,SRP117243,57204_H9_hESC_NT_shRNA_replicate_#1,,PAIRED,Illumina HiSeq 3000
SRP078315.SRX1935555.GPL16791,SRP078315,SRX1935555,GPL16791,hepatocyte-like cell,test,dHEP,ESC,dHEP-ESC,d5,,,,,SRR3878157,PASS,SRX1935555,SRS1557141,SRP078315,"HLC-differentiated hESCs, Day 5",,SINGLE,Illumina HiSeq 2500
SRP078315.SRX1935556.GPL16791,SRP078315,SRX1935556,GPL16791,hepatocyte-like cell,test,dHEP,ESC,dHEP-ESC,d10,,,,,SRR3878158,PASS,SRX1935556,SRS1557142,SRP078315,"HLC-differentiated hESCs, Day 10",,SINGLE,Illumina HiSeq 2500
SRP078315.SRX1935557.GPL16791,SRP078315,SRX1935557,GPL16791,hepatocyte-like cell,test,dHEP,ESC,dHEP-ESC,d12,,,,,SRR3878159,PASS,SRX1935557,SRS1557144,SRP078315,"HLC-differentiated hESCs, Day 12",,SINGLE,Illumina HiSeq 2500
SRP045406.SRX689201.GPL16791,SRP045406,SRX689201,GPL16791,"hepatocyte, treated",other,HEP.t,NA,NA,,,,,,SRR1542482,"WARN(4,6)",SRX689201,SRS677636,SRP045406,Mixed RNA from primary human hepatocytes from five donors,,PAIRED,Illumina HiSeq 2500
SRP105671.SRX2770662.GPL16791,SRP105671,SRX2770662,GPL16791,hepatocyte,standard,HEP,NA,NA,,,,,,SRR5487764,PASS,SRX2770662,SRS2154137,SRP105671,d7_adult_hep,,SINGLE,Illumina HiSeq 2500
SRP105671.SRX2770663.GPL16791,SRP105671,SRX2770663,GPL16791,hepatocyte,standard,HEP,NA,NA,,,,,,SRR5487765,PASS,SRX2770663,SRS2154140,SRP105671,d5_adult_hep,,SINGLE,Illumina HiSeq 2500
SRP105671.SRX2770664.GPL16791,SRP105671,SRX2770664,GPL16791,hepatocyte,standard,HEP,NA,NA,,,,,,SRR5487766,PASS,SRX2770664,SRS2154139,SRP105671,d3_adult_hep,,SINGLE,Illumina HiSeq 2500
SRP105671.SRX2770661.GPL16791,SRP105671,SRX2770661,GPL16791,fetal hepatocyte,standard,fHEP,NA,NA,,,,,,SRR5487763,PASS,SRX2770661,SRS2154138,SRP105671,Unsorted FL wk 22,,SINGLE,Illumina HiSeq 2500
SRP105671.SRX2770667.GPL16791,SRP105671,SRX2770667,GPL16791,fetal hepatocyte,standard,fHEP,NA,NA,,,,,,SRR5487769,WARN(8),SRX2770667,SRS2154143,SRP105671,EpCAM+ FL wk 22,,SINGLE,Illumina HiSeq 2500
ERP016268.ERX1546027.GPL11154,ERP016268,ERX1546027,GPL11154,derived dopaminergic neuron,test,dDPN,ESC,dDPN-ESC,endpoint,,,,,ERR1474890,PASS,ERX1546027,ERS1223081,ERP016268,SAMEA4051971,,PAIRED,Illumina HiSeq 2000
ERP016268.ERX1546028.GPL11154,ERP016268,ERX1546028,GPL11154,derived dopaminergic neuron,test,dDPN,ESC,dDPN-ESC,endpoint,,,,,ERR1474891,PASS,ERX1546028,ERS1223082,ERP016268,SAMEA4051972,,PAIRED,Illumina HiSeq 2000
ERP016268.ERX1546029.GPL11154,ERP016268,ERX1546029,GPL11154,derived dopaminergic neuron,test,dDPN,ESC,dDPN-ESC,endpoint,,,,,ERR1474892,PASS,ERX1546029,ERS1223083,ERP016268,SAMEA4051973,,PAIRED,Illumina HiSeq 2000
SRP044749.SRX659885.GPL10999,SRP044749,SRX659885,GPL10999,derived neuron,test,dNEUR,IPS,dNEUR-IPS,endpoint,,,,,SRR1523347,PASS,SRX659885,SRS664889,SRP044749,Angelman iPS-derived neurons,,PAIRED,Illumina Genome Analyzer IIx
SRP044749.SRX659888.GPL10999,SRP044749,SRX659888,GPL10999,derived neuron,test,dNEUR,IPS,dNEUR-IPS,endpoint,,,,,SRR1523349,"WARN(1,5,7)",SRX659888,SRS664889,SRP044749,Angelman iPS-derived neurons,,PAIRED,Illumina Genome Analyzer IIx
SRP044749.SRX659889.GPL10999,SRP044749,SRX659889,GPL10999,derived neuron,test,dNEUR,IPS,dNEUR-IPS,endpoint,,,,,SRR1523352,"WARN(1,5,7)",SRX659889,SRS664890,SRP044749,Normal iPS-derived neurons,,PAIRED,Illumina Genome Analyzer IIx
SRP044749.SRX659891.GPL10999,SRP044749,SRX659891,GPL10999,derived neuron,test,dNEUR,IPS,dNEUR-IPS,endpoint,,,,,SRR1523353,"WARN(1,2,5,7)",SRX659891,SRS664890,SRP044749,Normal iPS-derived neurons,,PAIRED,Illumina Genome Analyzer IIx
SRP044749.SRX659892.GPL11154,SRP044749,SRX659892,GPL11154,derived neuron,test,dNEUR,IPS,dNEUR-IPS,endpoint,,,,,SRR1523354,PASS,SRX659892,SRS664892,SRP044749,Dup15q syndrome iPS-derived neurons,,PAIRED,Illumina HiSeq 2000
SRP044749.SRX659893.GPL11154,SRP044749,SRX659893,GPL11154,derived neuron,test,dNEUR,IPS,dNEUR-IPS,endpoint,,,,,SRR1523355,PASS,SRX659893,SRS664892,SRP044749,Dup15q syndrome iPS-derived neurons,,PAIRED,Illumina HiSeq 2000
SRP064478.SRX1304789.GPL18573,SRP064478,SRX1304789,GPL18573,spinal cord,standard,SPNCD,NA,NA,,,,,,SRR2558717,"WARN(4,6,8)",SRX1304789,SRS1099455,SRP064478,BennettLab_neurologically_healthy_control_6,,PAIRED,NextSeq 500
SRP064478.SRX1304790.GPL18573,SRP064478,SRX1304790,GPL18573,spinal cord,standard,SPNCD,NA,NA,,,,,,SRR2558718,"WARN(4,6,8)",SRX1304790,SRS1099454,SRP064478,BennettLab_neurologically_healthy_control_8,,PAIRED,NextSeq 500
SRP064478.SRX1304795.GPL18573,SRP064478,SRX1304795,GPL18573,spinal cord,standard,SPNCD,NA,NA,,,,,,SRR2558723,WARN(6),SRX1304795,SRS1099449,SRP064478,BennettLab_neurologically_healthy_control_25,,PAIRED,NextSeq 500
SRP091319.SRX2348836.GPL16791,SRP091319,SRX2348836,GPL16791,derived neuron,test,dNEUR,ESC,dNEUR-ESC,w4,,,,,SRR5021441,"WARN(4,6)",SRX2348836,SRS1735740,SRP091319,Human H9 (WA09) hESC cell line,,SINGLE,Illumina HiSeq 2500
